pub_date	title	venue	excerpt	citation	url_slug	paper_url
2015-01-15	The materials genome in action: identifying the performance limits for methane storage	Energy Environ. Sci.	In this Perspective, we have collected and compared on a consistent basis the methane uptake in over 650 000 existing and predicted materials using molecular simulations. The results suggest that it may be difficult to reach the (at the time) Advanced Research Project Agency-Energy (ARPA-E) target for natural gas storage.	Simon, Cory M. et al. (2015). "The materials genome in action: identifying the performance limits for methane storage." <i>Energy Environ. Sci</i>. 8. 1190-1199.	materials-genome-in-action	https://doi.org/10.1039/C4EE03515A
2015-05-27	What are the best materials to separate a xenon/krypton mixture?	Chem. Mater.	In this work, we screened the Nanoporous Materials Genome, a database of about 670 000 porous material structures, for candidate adsorbents for Xe/Kr separations using a hybrid computational approach combining random forests with molecular simulations. Our study predicts that the two most selective materials in the database are an aluminophosphate zeolite analogue and a calcium-based coordination network, both of which had already been synthesized but (at the time) not yet tested for Xe/Kr separations.	Simon, Cory M. et al. (2015). "What are the best materials to separate a xenon/krypton mixture?" <i>Chem. Mater</i>. 27(12). 4459-4475.	what-are-the-best-materials	https://doi.org/10.1021/acs.chemmater.5b01475
2015-08-31	Computer-aided search for materials to store natural gas for vehicles	Front. Young Minds.	In this article (written for kids aged 13-15), we show how computers can be used to search for the most promising sponge-like materials for storing natural gas.	Simon, Cory M. et al. (2015). "Computer-aided search for materials to store natural gas for vehicles." <i>Front. Young Minds</i>. 3-11.	computer-aided-search-for-materials	https://kids.frontiersin.org/article/10.3389/frym.2015.00011
2015-09-27	Systematic tuning and multifunctionalization of covalent organic polymers for enhanced carbon capture	J. Am. Chem. Soc.	Here, we synthesized 17 novel porous covalent organic polymers with a wide range of properties, achieved by tailoring the length and geometry of the building blocks. The multifunctionalization strategy presented can be used in the design of novel catalysts, the synthesis of functional sensors, and the improvement of existing covalent organic polymers.	Xiang, Zhonghua et al. (2015). "Systematic tuning and multifunctionalization of covalent organic polymers for enhanced carbon capture." <i>J. Am. Chem. Soc</i>. 137(41). 13301-13307.	systematic-tuning-and-multifunc	https://doi.org/10.1021/jacs.5b06266
2016-05-25	Force field development from periodic density functional theory calculations for gas separation applications using metal–organic frameworks	J. Phys. Chem. C	Here, we present accurate force fields developed from density functional theory (DFT) calculations with periodic boundary conditions for use in molecular simulations involving MOF-74 and related frameworks, where conventional force fields fail to accurately model gas adsorption due to the strongly binding open-metal sites. The introduced DFT-derived force fields predict the adsorption of CO<sub>2</sub>, H<sub>2</sub>O, and CH<sub>4</sub> inside these frameworks much more accurately than other common force fields.	Mercado, Rocío et al. (2016). "Force field development from periodic density functional theory calculations for gas separation applications using metal–organic frameworks." <i>J. Phys. Chem. C</i>. 120(23). 12590-12604.	force-field-development	 https://doi.org/10.1021/acs.jpcc.6b03393
2018-01-04	Unexpected diffusion anisotropy of carbon dioxide in the metal–organic framework Zn<sub>2</sub>(dobpdc)	J. Am. Chem. Soc.	Here, we investigate the diffusion of CO<sub>2</sub> within the pores of Zn<sub>2</sub>(dobpdc) using pulsed field gradient nuclear magnetic resonance spectroscopy and molecular dynamics simulations. In addition to observing CO<sub>2</sub> diffusion through the channels parallel to the crystallographic *c*-axis, we unexpectedly find that CO<sub>2</sub> is also able to diffuse between the hexagonal channels in the crystallographic *ab* plane, despite the walls of these channels appearing impermeable in molecular dynamics simulations. This suggests the presence of defects that enable effective multidimensional CO<sub>2</sub> transport in a metal–organic framework with nominally one-dimensional porosity.	Forse, Alexander C. et al. (2018). "Unexpected diffusion anisotropy of carbon dioxide in the metal–organic framework Zn<sub>2</sub>(dobpdc)." <i>J. Am. Chem. Soc</i>. 140(5). 1663-1673.	unexpected-diffusion-anisotropy	https://doi.org/10.1021/jacs.7b09453
2018-06-21	In silico design of 2D and 3D covalent organic frameworks for methane storage applications	Chem. Mater.	Here, we present a database of 69 840 covalent organic frameworks assembled in silico from 666 distinct organic linkers and four established synthetic routes. Due to their light weights and high internal surface areas, we investigated the frameworks for methane storage applications using grand-canonical Monte Carlo simulations, and identified 300 promising methane storage materials. To encourage screening studies of these materials for other applications, all structures and their properties were made available on the Materials Cloud.	Mercado, Rocío et al. (2018). "In silico design of 2D and 3D covalent organic frameworks for methane storage applications." <i>Chem. Mater</i>. 30(15). 5069-5086.	in-silico-design-of-2D-and-3D-cops	https://doi.org/10.1021/acs.chemmater.8b01425
2018-08-28	Generating carbon schwarzites via zeolite-templating	PNAS	Here, we develop a theoretical framework for generating zeolite-templated carbons (ZTCs) from any zeolite structure, and use our method to generate a library of ZTCs from all known zeolites. We establish criteria for which zeolites can produce experimentally accessible ZTCs and identify over 10 ZTCs that have not (at the time) been synthesized. We go on to establish a relationship between ZTCs and schwarzites using the triply periodic minimal surface describing the ZTC labyrinths.	Braun, Efrem et al. (2018). "Generating carbon schwarzites via zeolite-templating." <i>PNAS</i>. 115(35). E8116-E8124.	generating-carbon-schwarzites	https://doi.org/10.1073/pnas.1805062115
2018-08-15	Computationally-driven investigations towards better gas adsorption materials	UC Berkeley Proquest	This is my PhD thesis.	Mercado, Rocío. (2018). "Computationally-driven investigations towards better gas adsorption materials." <i>UC Berkeley ProQuest</i>. 10841273.	phd-thesis	https://search.proquest.com/openview/961096d328520303672fdc9a902c540d/1?pq-origsite=gscholar&cbl=18750&diss=y
2019-04-23	Combined nuclear magnetic resonance and molecular dynamics study of methane adsorption in M<sub>2</sub>(dobdc) metal–organic frameworks	J. Phys. Chem. C.	In this work, we examine the diffusion of methane in MOF-74 through a combination of nuclear magnetic resonance and molecular dynamics simulations. At low gas densities, our results suggest that favorable CH<sub>4</sub>–CH<sub>4</sub> interactions lower the free energy barrier for methane hopping between open metal sites, enhancing the translational motion of methane down the *c*-axis. Furthermore, we observe that the self-diffusion coefficient of methane is inversely related to the binding energy at the open metal sites, such that diffusion is most rapid in Zn-MOF-74.	Witherspoon, Velencia J. et al. (2019). "Combined nuclear magnetic resonance and molecular dynamics study of methane adsorption in M<sub>2</sub>(dobdc) metal–organic frameworks." <i>J. Phys. Chem. C</i>. 123(19). 12286-12295.	combined-mnr-and-md-study	https://doi.org/10.1021/acs.jpcc.9b01733
2020-08-24	Graph networks for molecular design	ChemRxiv	(preprint; accepted version above) This work introduces GraphINVENT, a platform developed for graph-based molecular design using graph neural networks (GNNs). GraphINVENT uses a tiered deep neural network architecture to probabilistically generate new molecules a single bond at a time.	Mercado, Rocío et al. (2020). "Graph networks for molecular design." <i>ChemRxiv</i>. 	graph-networks-for-molecular-design	https://doi.org/10.26434/chemrxiv.12843137.v1
2020-08-31	Practical notes on building molecular graph generative models	ChemRxiv	(preprint; accepted version above) This work presents technical notes and tips on developing graph generative models for molecular design. This work stems from the development of GraphINVENT. Technical details that could be of interest to researchers developing their own molecular generative models are discussed, including strategies for designing new models.	Mercado, Rocío et al. (2020). "Practical notes on building molecular graph generative models." <i>ChemRxiv</i>.	practical-notes	https://doi.org/10.26434/chemrxiv.12888383.v1
2020-09-17	Molecular representations in AI-driven drug discovery: a review and practical guide	J. Cheminf.	A large number of chemical representations have been developed over the years, their numerosity being due to the fast development of computers and the complexity of producing a representation that encompasses all structural and chemical characteristics. In this mini-review, we present some of the most popular electronic molecular and macromolecular representations used in AI-driven drug discovery.	David, Laurianne et al. (2020). "Molecular representations in AI-driven drug discovery: a review and practical guide." <i>J. Cheminf</i>. 12(56).	molecular-representations-in-ai	https://doi.org/10.1186/s13321-020-00460-5
2020-11-02	Using GraphINVENT to generate novel DRD2 actives	Cheminformania	Guest blog post for cheminformania.com.	Mercado, Rocío. (2020). "Using GraphINVENT to generate novel DRD2 actives." <i>Cheminformania</i>.	graphinvent-drd2-blog-post	http://www.cheminformania.com/using-graphinvent-to-generate-novel-drd2-actives/
2020-11-16	Comparative study of deep generative models on chemical space coverage	ChemRxiv	(preprint; accepted version above) This work presents a novel metric for evaluating deep molecular generative models; this new metric compares not only the molecular structures, but also the ring systems and functional groups, reproduced from a reference dataset of 1M structures from GDB-13.	Zhang, Jie et al. (2020). "Comparative study of deep generative models on chemical space coverage." <i>ChemRxiv</i>. 	comparative-study-of-deep	https://doi.org/10.26434/chemrxiv.13234289.v3
2020-12-01	Graph networks for molecular design	Mach. Learn.: Sci. Technol.	This work introduces GraphINVENT, a platform developed for graph-based molecular design using graph neural networks (GNNs). GraphINVENT uses a tiered deep neural network architecture to probabilistically generate new molecules a single bond at a time.	Mercado, Rocío et al. (2020). "Graph networks for molecular design." <i>Mach. Learn.: Sci. Technol</i>. 	graph-networks-for-molecular-design	https://doi.org/10.1088/2632-2153/abcf91
2020-12-01	Practical notes on building molecular graph generative models	Applied AI Letters	This work presents technical notes and tips on developing graph generative models for molecular design, as well as an overview of previous work in molecular graph generation. This work stems from the development of GraphINVENT. Technical details that could be of interest to researchers developing their own molecular generative models are discussed, including strategies for designing new models.	Mercado, Rocío et al. (2020). "Practical notes on building molecular graph generative models." <i>Applied AI Letters</i>.	practical-notes	https://doi.org/10.1002/ail2.18
2021-05-20	Comparative study of deep generative models on chemical space coverage	JCIM	This work presents a novel and complementary metric for evaluating deep molecular generative models. The performance of seven different molecular generative models was compared by calculating what fraction of the structures, ring systems, and functional groups could be reproduced from the largely unseen reference set when using only a small fraction of GDB-13 for training.	Zhang, Jie et al. (2021). "Comparative study of deep generative models on chemical space coverage." <i>J. Chem. Inf. Model</i>.	comparative-study-of-deep	https://doi.org/10.1021/acs.jcim.0c01328
2021-07-01	Exploring graph traversal algorithms in graph-based molecular generation	ChemRxiv	Here we explore the impact of different graph traversal algorithms on molecular graph generation. We do this by training a graph-based deep molecular generative model to build structures using a node order determined via either a breadth- or depth-first search algorithm.	Mercado, Rocío et al. (2021) "Exploring graph traversal algorithms in graph-based molecular generation." <i>ChemRxiv</i>.	exploring-graph-traversal	https://doi.org/10.33774/chemrxiv-2021-5c5l1
2021-07-26	De novo drug design using reinforcement learning with graph-based deep generative models	ChemRxiv	Here, we propose a graph-based deep generative model for de novo molecular design using reinforcement learning.	Romeo Atance, Sara et al. (2021) "De novo drug design using reinforcement learning with graph-based deep generative models." <i>ChemRxiv</i>.	de-novo-drug-design	https://doi.org/10.33774/chemrxiv-2021-9w3tc
2021-10-18	Amortized tree generation for bottom-up synthesis planning and synthesizable molecular design	arXiv	Here, we report an approach which allows us to conduct synthesis planning in a bottom-up manner and design synthesizable molecules by decoding from optimized conditional codes, demonstrating the potential to solve both problems of molecular design and synthesis simultaneously.	Gao, Wenhao et al. (2021) "Amortized tree generation for bottom-up synthesis planning and synthesizable molecular design." <i>arXiv</i>.	amortized-tree-generation	https://arxiv.org/abs/2110.06389
2021-11-10	Exploring graph traversal algorithms in graph-based molecular generation	JCIM	Here we explore the impact of different graph traversal algorithms on molecular graph generation. We do this by training a graph-based deep molecular generative model to build structures using a node order determined via either a breadth- or depth-first search algorithm.	Mercado, Rocío et al. (2021) "Exploring graph traversal algorithms in graph-based molecular generation." <i>J. Chem. Inf. Model</i>.	exploring-graph-traversal	https://doi.org/10.1021/acs.jcim.1c00777
2021-12-13	A transferable Boltzmann generator for small-molecule conformers	ELLIS Machine Learning for Molecule Discovery Workshop	Here we introduce a transferable generative model for physically realistic conformer ensembles of small molecules. The model is autoregressive and places atoms sequentially using a learned, transferable, and equivariant function implemented using a normalizing flow.	Viguera Diez, Juan et al. (2021) "A transferable Boltzmann generator for small-molecule conformers." <i>ELLIS ML4Molecules</i>.	transferable-Boltzmann-generator	https://cloud.ml.jku.at/s/sKtfdFpoTp9F7sJ
2022-01-22	Amortized tree generation for bottom-up synthesis planning and synthesizable molecular design	ICLR 2022	Molecular design and synthesis planning are two critical steps in the process of molecular discovery that we propose to formulate as a single shared task of conditional synthetic pathway generation. Here, we report an amortized approach to generate synthetic pathways as a Markov decision process conditioned on a target molecular embedding.	Gao, Wenhao et al. (2022) "Amortized tree generation for bottom-up synthesis planning and synthesizable molecular design." <i>ICLR 2022</i>.	amortized-tree-generation-iclr	https://openreview.net/forum?id=FRxhHdnxt1
2022-10-11	De novo drug design using reinforcement learning with graph-based deep generative models	JCIM	Machine learning provides effective computational tools for exploring the chemical space via deep generative models. Here, we propose a new reinforcement learning scheme to fine-tune graph-based deep generative models for de novo molecular design tasks.	Romeo Atance, Sara et al. (2022) "De novo drug design using reinforcement learning with graph-based deep generative models." <i>J. Chem. Inf. Model</i>.	de-novo-drug-design-2	https://doi.org/10.1021/acs.jcim.2c00838
2022-11-06	De novo PROTAC design using graph-based deep generative models	AI4Science	PROteolysis TArgeting Chimeras (PROTACs) are an emerging therapeutic modality for degrading a protein of interest (POI) by marking it for degradation by the proteasome. Recent developments in artificial intelligence (AI) suggest that deep generative models can assist with the de novo design of molecules with desired properties, and their application to PROTAC design remains largely unexplored.	Nori, Divya et al. (2022) "De novo PROTAC design using graph-based deep generative models." <i>NeurIPS 2022 AI4Science Workshop</i>.	protac-design	https://openreview.net/pdf?id=pGyp4o9gky0
2023-07-05	Data sharing in chemistry: lessons learned and a case for mandating structured reaction data	JCIM	The past decade has seen a number of impressive developments in predictive chemistry and reaction informatics driven by machine learning applications to computer-aided synthesis planning. While many of these developments have been made even with relatively small, bespoke data sets, in order to advance the role of AI in the field at scale, there must be significant improvements in the reporting of reaction data. In this Perspective, we analyze several data curation and sharing initiatives that have seen success in chemistry and molecular biology. We discuss several factors that have contributed to their success and how we can take lessons from these case studies and apply them to reaction data.	Mercado, Rocio et al. (2023) "Data sharing in chemistry: lessons learned and a case for mandating structured reaction data." <i>J. Chem. Inf. Model</i>.	data-sharing	https://doi.org/10.1021/acs.jcim.3c00607
