status	title	type	url_slug	venue	date	location	event_url	video_url	description
Recent	Molecular design using graph-based deep learning methods	Talk	gcc-2019	15th GCC Mainz	2019-11-05	Mainz, Germany	https://veranstaltungen.gdch.de/tms/frontend/index.cfm?l=8911&sp_id=2		15th German Cheminformatics Conference: AI, Big Data, and Deep Learning Section
Recent	Graph-based de novo molecular design using deep learning	Talk	gaia-2019	GAIA Meetup, AstraZeneca Gothenburg	2019-12-05	Mölndal, Sweden	https://www.gaia.fish/new-events/2019/12/5/disrupting-the-pharma-industry-with-ai	https://www.youtube.com/watch?v=ArSoaNOJSec	GAIA Meetup: Disrupting the Pharmaceutical Industry with AI
Recent	Molecular design using graph neural networks	Talk	iit-hyderabad-2020	IIT Hyderabad Department of Physics	2020-09-22	Online	http://physics.iith.ac.in/APML/doc/Rocio_Physics_talk.pdf		Applied Physics & Machine Learning Seminar Series
Recent	Molecular design using GraphINVENT	Talk	gaia-2020	GAIA Conference 2020	2020-11-27	Online	https://conference.gaia.fish	https://www.youtube.com/watch?v=ljhtfrtuNqw&feature=youtu.be	GAIA Conference 2020
Recent	Applying graph networks to molecular design	Talk	ml4molecules-2020	NeurIPS ML4Molecules Workshop	2020-12-11	Online	https://ml4molecules.github.io/	https://slideslive.com/38938184/applying-graph-neural-networks-to-molecular-design	NeurIPS ML4Molecules Workshop 2020
Recent	Accelerating molecular design using deep generative models	Talk	dyss-2021	DYSS 2021	2021-08-16	Online	https://depts.washington.edu/dyss/2021.html		DYSS 2021: 11th Annual Distinguished Young Scholars Seminar 
Recent	Accelerating molecular design using graph-based deep generative models	Talk	graphml-2021	Graph Machine Learning in Industry	2021-09-23	Online	https://sites.google.com/view/graph-ml-in-industry/home	https://youtu.be/bLN1V5fZD2g?t=9670	Graph Machine Learning in Industry 
Recent	Constructing an edifice of life and science with Rocío Mercado (MIT)	Podcast	random-walks-2021	Random Walks Podcast	2021-11-13	Online	https://linktr.ee/randomwalks	https://open.spotify.com/episode/0JUpjDMc4UkMerOjWEwLXN?si=58b835e0fcf14000	Random Walks Podcast 
Recent	Artificial intelligence of drug discovery	Talk	skype-a-scientist-2022	Skype A Scientist LIVE	2022-02-08	Online	https://www.skypeascientist.com/skype-a-scientist-live.html	https://youtu.be/GKOpwa-2XqQ	Skype A Scientist LIVE 
Recent	Machine learning for de novo drug design	Talk	ai-2-ase-2022	AAAI AI to Accelerate Science and Engineering (AI2ASE) Workshop	2022-02-28	Online	https://ai-2-ase.github.io/		1st Annual AAAI Workshop on AI to Accelerate Science and Engineering (AI2ASE) 
Upcoming	Data-driven therapeutics development: from de novo drug design to precision medicine applications	Talk	kth-2022	KTH Royal Institute of Technology	2022-03-08	Online	https://www.scilifelab.se/event/kth-data-driven-life-science-fellow-candidate-seminars/		KTH Data-driven Life Science Fellow Candidate Seminars 
